signal_name,category,agg_type,rows_in,rows_out,notes
V_real_maxAT,hvac_setpoint,last,42,35,ok
V_real_maxAT_K,hvac_setpoint,last,43,36,ok
V_real_maxATY4,hvac_setpoint,last,40,33,ok
V_real_maxVorlaufTemp,heating_curve,last,42,35,ok
V_real_maxVorlaufTempK,heating_curve,last,45,38,ok
V_real_maxVorlaufTempY4,heating_curve,last,40,33,ok
V_real_minAT,hvac_setpoint,last,41,34,ok
V_real_minAT_K,hvac_setpoint,last,43,36,ok
V_real_minATY4,hvac_setpoint,last,40,33,ok
V_real_minVorlaufTemp,heating_curve,last,43,36,ok
V_real_minVorlaufTempK,heating_curve,last,45,37,ok
V_real_minVorlaufTempY4,heating_curve,last,40,33,ok
V_real_Nachtabsenkung,night_setback,last,40,33,ok
V_real_NachtabsenkungY4,night_setback,last,39,33,ok
V_realAZmax,hp_setpoint,last,40,33,ok
V_realAZmin,hp_setpoint,last,40,33,ok
V_realHysWP,hp_setpoint,last,40,33,ok
V_realMaxVL_WP,hp_setpoint,last,40,33,ok
V_realMinVL_WPcool,hp_setpoint,last,40,33,ok
V_realSollTempAZmax,hp_setpoint,last,40,33,ok
val1006,unknown,mean,3783,9,ok
val1007,unknown,mean,2408,6,ok
val1008,unknown,mean,961,3,ok
val1009,unknown,mean,962,3,ok
Vreal_maxSpeicher,storage_setpoint,last,7,0,snapshot_skipped (7 rows)
Vreal_maxTempSpeicherUnten,storage_setpoint,last,7,0,snapshot_skipped (7 rows)
Vreal_minSpeicher,storage_setpoint,last,7,0,snapshot_skipped (7 rows)
Vreal_WP_Ein_Batterie,battery_setpoint,last,41,34,ok
Vreal_WP_Ein_BatterieKritsch,battery_setpoint,last,44,36,ok
Vreal_WP_Ein_BatterieKritschHys,battery_setpoint,last,42,35,ok
VrealSpeicherWW_BHKW_Aus,dhw_setpoint,last,7,0,snapshot_skipped (7 rows)
VrealSpeicherWW_BHKW_Ein,dhw_setpoint,last,7,0,snapshot_skipped (7 rows)
wind_now,weather,mean,3465507,19263,ok
wind_tomorrow,weather_forecast,mean,3465504,19263,ok
